fname,time_sec,dominant_color
s01e03_polly_parrot_52.jpg,255,#7499b7
s01e03_polly_parrot_53.jpg,260,#bdbac9
s01e03_polly_parrot_54.jpg,265,#b8bcc8
s01e03_polly_parrot_55.jpg,270,#73a3b7
s01e03_polly_parrot_56.jpg,275,#6bbdb3
s01e03_polly_parrot_57.jpg,280,#6abcb3
s01e03_polly_parrot_58.jpg,285,#6394d3
s01e03_polly_parrot_59.jpg,290,#6394d3
s01e03_polly_parrot_60.jpg,295,#6494d3
s01e03_polly_parrot_61.jpg,300,#6494d5
s01e03_polly_parrot_62.jpg,305,#040404
s01e04_best_friend_1.jpg,0,#84b4f2
s01e04_best_friend_2.jpg,5,#84b3f0
s01e04_best_friend_3.jpg,10,#81b0ef
s01e04_best_friend_4.jpg,15,#84b4f2
s01e04_best_friend_5.jpg,20,#86b5f0
s01e04_best_friend_6.jpg,25,#e8ebb0
s01e04_best_friend_7.jpg,30,#e8eda0
s01e04_best_friend_8.jpg,35,#e5d769
s01e04_best_friend_9.jpg,40,#dfd067
s01e04_best_friend_10.jpg,45,#decf68
s01e04_best_friend_11.jpg,50,#f6b5da
s01e04_best_friend_12.jpg,55,#e7cf68
s01e04_best_friend_13.jpg,60,#e7ce68
s01e04_best_friend_14.jpg,65,#e6ce63
s01e04_best_friend_15.jpg,70,#a0a9ec
s01e04_best_friend_16.jpg,75,#e8d16b
s01e04_best_friend_17.jpg,80,#ead169
s01e04_best_friend_18.jpg,85,#ecd16a
s01e04_best_friend_19.jpg,90,#a2abf5
s01e04_best_friend_20.jpg,95,#9fade9
s01e04_best_friend_21.jpg,100,#a1b0e6
s01e04_best_friend_22.jpg,105,#a0aee9
s01e04_best_friend_23.jpg,110,#a6a2e6
s01e04_best_friend_24.jpg,115,#a6b0ea
s01e04_best_friend_25.jpg,120,#cdc4ba
s01e04_best_friend_26.jpg,125,#cac3bf
s01e04_best_friend_27.jpg,130,#c8c1c2
s01e04_best_friend_28.jpg,135,#81c2cd
s01e04_best_friend_29.jpg,140,#ddd5d9
s01e04_best_friend_30.jpg,145,#dcdde0
s01e04_best_friend_31.jpg,150,#dddfe0
s01e04_best_friend_32.jpg,155,#9eaaee
s01e04_best_friend_33.jpg,160,#a3aaf7
s01e04_best_friend_34.jpg,165,#e1e3e6
s01e04_best_friend_35.jpg,170,#d4bf6c
s01e04_best_friend_36.jpg,175,#a3abf5
s01e04_best_friend_37.jpg,180,#c797de
s01e04_best_friend_38.jpg,185,#c897dd
s01e04_best_friend_39.jpg,190,#9ca2e0
s01e04_best_friend_40.jpg,195,#cdcce8
s01e04_best_friend_41.jpg,200,#d2a5db
s01e04_best_friend_42.jpg,205,#9ea8da
s01e04_best_friend_43.jpg,210,#bea0e1
